Class_Name,Description,Type,id,Professor,Time,Unit,Attributes,Subject,Number
AAAS 345,MASS INCARCERATION/CITIZENSHIP,lec,1,Wahneema Lubiano,TuTh 4:40PM - 5:55PM,1.0,"CCI,EI,R,C,ALP,CZ",AAAS,345
AAAS 347S,WHITE PEOPLE,lec,1,James Lorand Matory,Tu 3:05PM - 5:35PM,1.0,"CCI,R,C,CZ,SS",AAAS,347
AAAS 407S,CAP SEM: GLOBALIZATION ASIA,lec,1,Sucheta Mazumdar,Th 4:40PM - 7:10PM,1.0,"CCI,R,STS,C,CZ,SS",AAAS,407
AAAS 420S,ROLE RACE/CULTURE ON DEVL,lec,1,Makeba P Wilbourn,Th 11:45AM - 2:15PM,1.0,"CCI,EI,C,SS",AAAS,420
AEROSCI 101,HERITAGE/VALUES US AIR FORCE,lec,1,Leia Teresa Wright,Th 1:40PM - 2:40PM,0.5,,AEROSCI,101
AEROSCI 201,TEAM & LEADERSHIP FUNDAMENTALS,lec,1,Leia Teresa Wright,Tu 8:45AM - 9:50AM,0.5,STS,AEROSCI,201
AEROSCI 301S,LEADING PEOPLE/EFFECTIVE COMM,lec,1,"Leia Teresa Wright, Liza Moya Theriault",Tu 3:05PM - 5:35PM,1.0,EI,AEROSCI,301
AEROSCI 99L,LEADERSHIP LABORATORY,lab,1,Leia Teresa Wright,Th 3:05PM - 5:05PM,0.0,,AEROSCI,99
AMES 111,"SELF, SOCIETY, ART IN HINDUISM",lec,1,Leela Prasad,WF 10:05AM - 11:20AM,1.0,"CCI,EI,C,CZ",AMES,111
AMES 114,BUDDHISM,lec,1,Rebecca Mendelson,TuTh 11:45AM - 1:00PM,1.0,"CCI,EI,C,CZ",AMES,114
AMES 120,MUSIC IN EAST ASIA,lec,1,Departmental Staff,WF 1:25PM - 2:40PM,1.0,"CCI,C,ALP,CZ",AMES,120
AMES 123,HISTORY AND CULTURE OF IRAN,lec,1,Omid Safi,MW 1:25PM - 2:40PM,1.0,"CCI,R,C,ALP,CZ",AMES,123
AMES 127,THE MODERN MIDDLE EAST,lec,1,Adam Mestyan,TuTh 10:05AM - 11:20AM,1.0,"CCI,C,CZ",AMES,127
AMES 142,HISTORY OF CHINESE MEDICINE,lec,1,Nicole Elizabeth Barnes,TuTh 10:05AM - 11:20AM,1.0,"CCI,STS,W,C,CZ",AMES,142
AMES 145,CHINESE MUSIC ENSEMBLE,lec,1,"Hsiao-Mei Ku, Jennifer Chang",F 4:40PM - 6:40PM,0.5,C,AMES,145
AMES 151,INDIAN CINEMA,lec,1,Satendra Khanna,TuTh 3:05PM - 4:20PM,1.0,"CCI,R,C,ALP,CZ",AMES,151
AMES 157S,INDIAN CIVILIZATION,lec,1,John R Freeman,TuTh 3:05PM - 4:20PM,1.0,"CCI,EI,W,C,CZ,SS",AMES,157
AMES 167,ANCIENT AND EARLY MODERN JAPAN,lec,1,Departmental Staff,WF 8:30AM - 9:45AM,1.0,"CCI,C,CZ",AMES,167
